n_atr_1d_6,cl_9_1.0,cl_12_1.0,cl_18_2.0,cl_9_3.0,ind_vjrc_36_1,ind_per_x9_1.0,prc_u_tc_cns,tas_u_tc,c_tc_mn_24,c_tc_mn_24_sld,c_pcns,vr_s_t_36,mx_ltc_36,ipc_t6
3,0,0,0,1,1,1,0.314191972,0.314191972,1,2,0,-0.691199042,8512.88,0.039748545
0,0,0,0,0,0,1,0.869911464,0.869911464,1,2,2,0.0,44646.44,0.035449103
0,0,0,0,0,0,0,0.65549,0.65549,1,1,0,0.0,1000.0,0.032546067
0,0,1,0,0,0,1,0.025215934,0.025215934,3,1,0,-0.936722459,29001.0,0.019732322
0,0,0,0,0,0,1,0.068929452,0.068929452,6,3,0,-0.246001995,162178.2,0.01429334
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,-0.925,2000.0,0.021925232
5,0,0,0,1,1,1,0.0992,-1.0,0,0,1,-0.486371707,6500.0,0.03234882
0,0,0,0,0,0,1,0.0992,-1.0,0,0,1,0.0,750.0,0.039748545
0,0,0,0,0,0,1,0.103596531,0.103596531,1,2,0,-0.640274438,51400.08,0.03234882
0,0,0,0,0,0,1,0.487063813,0.487063813,2,3,0,-0.123277369,45160.36,0.033416187
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,-0.313942632,0.0,0.015987324
0,0,0,0,0,1,1,0.0992,-1.0,0,0,1,-0.158184651,7917.29,0.035449103
0,0,1,0,0,0,1,0.247757066,0.247757066,1,1,3,-0.173514414,16000.0,0.03234882
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.043979285
0,0,0,0,0,0,0,0.0,0.0,0,0,3,0.0,1000.0,0.018195539
0,0,0,0,0,0,1,0.1081,0.1081,0,0,1,0.0,1000.0,0.032546067
0,0,0,0,0,0,0,0.458533333,0.458533333,1,1,0,0.0,750.0,0.033416187
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,2295.02,0.01429334
0,0,0,0,0,0,1,0.979135289,0.979135289,0,0,1,-0.007867432,2489.85,0.01429334
0,0,0,0,0,0,0,0.899528571,0.899528571,0,0,1,0.0,700.0,0.022947805
0,0,0,0,0,0,1,0.745559354,0.745559354,1,1,0,-0.188492505,42293.76,0.021925232
1,1,1,0,0,0,0,0.0992,-1.0,0,0,3,0.0,31.89,0.043979285
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.039748545
0,0,1,0,0,0,1,0.126761666,0.126761666,3,1,0,-0.289987293,54438.54,0.015987324
0,0,0,0,0,1,0,0.0,0.0,0,0,0,-1.0,900.0,0.035449103
0,0,0,0,0,0,1,0.678028329,0.678028329,2,3,3,0.0,18350.01,0.018195539
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,481.84,0.03234882
0,0,0,0,0,0,1,0.151803062,0.151803062,2,0,0,-0.154808622,151149.52,0.03234882
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.01429334
0,0,0,0,0,0,0,0.19047619,0.19047619,1,0,0,-0.326145553,4200.0,0.019000916
1,1,1,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.015987324
0,0,0,0,0,1,1,0.669292011,0.669292011,0,1,1,-0.797782311,22200.01,0.022947805
3,1,1,0,0,0,1,0.070414,0.070414,1,0,1,-0.918579634,13382.43,0.039748545
0,0,0,0,0,0,1,0.032411176,0.032411176,2,1,1,-0.665586801,68000.0,0.018195539
0,0,0,0,0,1,0,0.222668405,0.222668405,0,1,0,-0.162063012,11704.22,0.027324439
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,-0.949793478,0.0,0.019732322
0,0,0,0,0,1,0,0.70668,0.70668,0,0,0,0.0,1000.0,0.027324439
0,0,0,0,0,0,0,0.436821429,0.436821429,1,0,0,0.0,1400.0,0.013648559
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.027324439
1,1,1,0,0,1,1,0.0,0.0,1,0,1,-0.071075973,1900.0,0.027324439
0,0,0,0,0,0,1,0.030018548,0.030018548,2,0,0,-0.485896209,38839.32,0.01429334
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.035449103
0,0,0,0,0,0,1,0.097875641,0.097875641,3,1,1,-0.105437132,15630.0,0.013648559
0,0,0,0,0,0,0,0.0,0.0,1,0,0,-0.058328056,6500.0,0.019732322
0,0,1,0,0,1,0,0.142899356,0.142899356,1,0,0,-0.707164386,6400.0,0.039748545
0,0,0,0,0,0,1,0.678128571,0.678128571,0,0,2,-0.349308275,700.0,0.019732322
0,0,0,0,0,0,0,0.0,0.0,1,0,0,-1.0,6500.0,0.022947805
0,0,0,0,0,0,0,0.0,0.0,0,0,0,-0.44026,2000.0,0.013648559
0,0,0,0,0,0,0,0.0,0.0,0,0,1,0.0,707.74,0.027324439
